archivo,clase_actual,categoria,ruta,motivo,sospecha,confianza
ls_0001.jpg,saludable,-,liquenes_saludables,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9
ls_0002.jpg,saludable,-,liquenes_saludables,verde muy bajo en centro,dudosa,0.6
ls_0003.jpg,saludable,-,liquenes_saludables,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9
ls_0004.jpg,saludable,-,liquenes_saludables,verde muy bajo en centro,dudosa,0.6
ls_0006.jpg,saludable,-,liquenes_saludables,verde muy bajo en centro,dudosa,0.6
ls_0011.jpg,saludable,-,liquenes_saludables,verde muy bajo en centro,dudosa,0.6
ls_0016.jpg,saludable,-,liquenes_saludables,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9
ls_0023.jpg,saludable,-,liquenes_saludables,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9
ls_0024.jpg,saludable,-,liquenes_saludables,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9
ls_0026.jpg,saludable,-,liquenes_saludables,gris dominante; revisar si es liquen gris sano o corteza,dudosa,0.6
ls_0029.jpg,saludable,-,liquenes_saludables,gris dominante; revisar si es liquen gris sano o corteza,dudosa,0.6
ls_0044.jpg,saludable,-,liquenes_saludables,verde muy bajo en centro,dudosa,0.6
ls_0045.jpg,saludable,-,liquenes_saludables,verde muy bajo en centro,dudosa,0.6
ls_0046.jpg,saludable,-,liquenes_saludables,gris dominante; revisar si es liquen gris sano o corteza,dudosa,0.6
ls_0047.jpg,saludable,-,liquenes_saludables,gris dominante; revisar si es liquen gris sano o corteza,dudosa,0.6
ls_0048.jpg,saludable,-,liquenes_saludables,verde muy bajo en centro,dudosa,0.6
ls_0049.jpg,saludable,-,liquenes_saludables,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9
ls_0050.jpg,saludable,-,liquenes_saludables,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9
ls_0051.jpg,saludable,-,liquenes_saludables,verde muy bajo en centro,dudosa,0.6
ls_0058.jpg,saludable,-,liquenes_saludables,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9
ls_0060.jpg,saludable,-,liquenes_saludables,verde muy bajo en centro,dudosa,0.6
ls_0061.jpg,saludable,-,liquenes_saludables,verde muy bajo en centro,dudosa,0.6
ls_0062.jpg,saludable,-,liquenes_saludables,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9
